Jahr;Art;Statistik;Zahl;Kinder_ges
2008;Fußgänger;Getötete;23;11139106
2008;Fußgänger;Insgesamt;7927;11139106
2008;Insgesamt;Getötete;102;11139106
2008;Insgesamt;Insgesamt;31648;11139106
2009;Fußgänger;Getötete;23;11022634
2009;Fußgänger;Insgesamt;7706;11022634
2009;Insgesamt;Getötete;90;11022634
2009;Insgesamt;Insgesamt;30845;11022634
2010;Fußgänger;Getötete;28;10941201
2010;Fußgänger;Insgesamt;7304;10941201
2010;Insgesamt;Getötete;104;10941201
2010;Insgesamt;Insgesamt;28629;10941201
2011;Fußgänger;Getötete;29;10773006
2011;Fußgänger;Insgesamt;7564;10773006
2011;Insgesamt;Getötete;86;10773006
2011;Insgesamt;Insgesamt;30676;10773006
2012;Fußgänger;Getötete;20;10682903
2012;Fußgänger;Insgesamt;7171;10682903
2012;Insgesamt;Getötete;73;10682903
2012;Insgesamt;Insgesamt;29321;10682903
2013;Fußgänger;Getötete;22;10642432
2013;Fußgänger;Insgesamt;6870;10642432
2013;Insgesamt;Getötete;58;10642432
2013;Insgesamt;Insgesamt;28143;10642432
2014;Fußgänger;Getötete;28;10686723
2014;Fußgänger;Insgesamt;6679;10686723
2014;Insgesamt;Getötete;72;10686723
2014;Insgesamt;Insgesamt;28675;10686723
2015;Fußgänger;Getötete;27;10881126
2015;Fußgänger;Insgesamt;6568;10881126
2015;Insgesamt;Getötete;84;10881126
2015;Insgesamt;Insgesamt;28236;10881126
2016;Fußgänger;Getötete;27;11048568
2016;Fußgänger;Insgesamt;6600;11048568
2016;Insgesamt;Getötete;66;11048568
2016;Insgesamt;Insgesamt;28548;11048568
2017;Fußgänger;Getötete;19;11171759
2017;Fußgänger;Insgesamt;6528;11171759
2017;Insgesamt;Getötete;61;11171759
2017;Insgesamt;Insgesamt;29259;11171759
2018;Fußgänger;Getötete;24;11290815
2018;Fußgänger;Insgesamt;6279;11290815
2018;Insgesamt;Getötete;79;11290815
2018;Insgesamt;Insgesamt;29213;11290815
